Battles,RollingWin,OverallWin,Epsilon,Speed,TableSize,Opponent
100,86.00%,86.00%,0.5000,23.966703667417004,4264,random
200,80.00%,80.00%,0.5000,25.675089922106785,8439,random
300,80.67%,80.67%,0.5000,25.45819198674182,12845,random
400,80.75%,80.75%,0.5000,26.007553394128042,16927,random
500,82.20%,82.20%,0.5000,26.231994782600495,20959,random
600,82.83%,82.83%,0.5000,26.127732677724694,25029,random
700,82.57%,82.57%,0.5000,26.04849642851918,28991,random
800,82.00%,82.00%,0.5000,26.40459830387461,32986,random
900,82.11%,82.11%,0.5000,26.09646085091815,36989,random
1000,82.10%,82.10%,0.5000,26.49807798933562,40732,random
1100,82.45%,82.45%,0.5000,26.23347829709156,44566,random
1200,83.00%,83.00%,0.5000,26.4723145210665,48360,random
1300,83.00%,83.00%,0.5000,26.202468428859426,52161,random
1400,82.79%,82.79%,0.5000,26.36111064297997,55969,random
1500,82.87%,82.87%,0.5000,26.615746943788416,59792,random
1600,82.69%,82.69%,0.5000,26.08368446819065,63714,random
1700,82.59%,82.59%,0.5000,26.175017280709145,67625,random
1800,82.44%,82.44%,0.5000,26.334753113573168,71327,random
1900,82.32%,82.32%,0.5000,26.455476135456497,75028,random
2000,82.45%,82.45%,0.5000,26.117952441410374,78497,random
2100,76.00%,82.14%,0.4982,25.96555424237676,82240,random
2200,80.50%,82.27%,0.4982,26.119367944654368,85758,random
2300,79.00%,82.00%,0.4982,26.522253186028234,89335,random
2400,80.25%,82.08%,0.4982,25.86822494670693,92958,random
2500,80.40%,82.04%,0.4982,26.06969137947737,96323,random
2600,80.33%,81.96%,0.4982,26.323972713797033,99909,random
2700,79.29%,81.63%,0.4982,26.04059483980545,103524,random
2800,80.62%,81.93%,0.4982,26.150081015577076,106616,random
2900,80.22%,81.76%,0.4982,26.491595174042416,109944,random
3000,80.50%,81.80%,0.4982,26.24872726524476,113184,random
3100,80.73%,81.84%,0.4982,26.484436974671056,116452,random
3200,80.75%,81.81%,0.4982,26.83266169998437,119586,random
3300,80.85%,81.82%,0.4982,26.447545283809582,122788,random
3400,80.86%,81.79%,0.4982,26.681464879282277,125920,random
3500,81.00%,81.83%,0.4982,26.829139082065513,129081,random
3600,80.88%,81.75%,0.4982,26.241552113470597,132430,random
3700,80.76%,81.68%,0.4982,26.310173383903447,135597,random
3800,81.00%,81.76%,0.4982,26.460678631885237,138578,random
3900,81.11%,81.79%,0.4982,26.067613440215602,141520,random
4000,80.95%,81.70%,0.4982,26.140258303684952,144687,random
4100,79.00%,81.63%,0.4964,25.18790774999889,147712,random
4200,82.50%,81.74%,0.4964,25.002384413186377,150819,random
4300,82.00%,81.72%,0.4964,25.460560540933958,153814,random
4400,81.25%,81.66%,0.4964,24.989999362485424,156852,random
4500,80.60%,81.58%,0.4964,24.670353501601102,159983,random
4600,80.00%,81.48%,0.4964,24.599307122816043,163074,random
4700,79.43%,81.36%,0.4964,25.124288956199706,166052,random
4800,80.12%,81.44%,0.4964,24.918974458602815,168959,random
4900,79.78%,81.35%,0.4964,25.188949974972022,171835,random
5000,79.70%,81.30%,0.4964,24.933131115764787,174713,random
5100,79.73%,81.27%,0.4964,25.151666218546186,177555,random
5200,79.67%,81.23%,0.4964,24.907033446660503,180485,random
5300,79.77%,81.23%,0.4964,25.123619295765707,183314,random
5400,79.43%,81.11%,0.4964,25.317797988601125,185975,random
5500,79.53%,81.11%,0.4964,24.876413988778978,188727,random
5600,79.81%,81.16%,0.4964,24.96254643322396,191541,random
5700,79.82%,81.14%,0.4964,25.041723962576516,194290,random
5800,79.78%,81.10%,0.4964,24.267097231029563,197024,random
5900,80.11%,81.19%,0.4964,24.322503730387357,199723,random
6000,80.40%,81.27%,0.4964,24.47201351539071,202538,random
6100,87.00%,81.36%,0.4946,26.423562313382156,205166,random
6200,88.50%,81.50%,0.4946,27.21467097956144,207666,random
6300,86.67%,81.52%,0.4946,26.293626531225787,210333,random
6400,85.25%,81.52%,0.4946,26.077187948854057,212848,random
6500,85.20%,81.57%,0.4946,25.955649107385316,215333,random
6600,85.33%,81.64%,0.4946,26.314961804192166,217905,random
6700,85.00%,81.66%,0.4946,26.12589340422128,220334,random
6800,85.00%,81.71%,0.4946,26.059757530568348,222811,random
6900,85.22%,81.78%,0.4946,26.374165721397723,225301,random
7000,84.90%,81.79%,0.4946,26.209611503978223,227636,random
7100,84.00%,81.69%,0.4946,26.47494626406961,230068,random
7200,83.33%,81.61%,0.4946,26.039204435176156,232553,random
7300,83.69%,81.70%,0.4946,26.272190862454977,234988,random
7400,83.29%,81.65%,0.4946,26.284672188438076,237514,random
7500,83.13%,81.64%,0.4946,25.782806349685522,239998,random
7600,82.81%,81.59%,0.4946,25.78786558054838,242541,random
7700,82.35%,81.51%,0.4946,25.940832840767424,244967,random
7800,82.39%,81.53%,0.4946,26.03227477088883,247312,random
7900,81.89%,81.42%,0.4946,25.59129523062683,249687,random
8000,81.70%,81.38%,0.4946,25.661804790323806,252108,random
8100,84.00%,81.41%,0.4928,26.349704083612846,254467,random
8200,82.50%,81.40%,0.4928,26.831453844336327,256733,random
8300,83.67%,81.46%,0.4928,26.85828886679107,259069,random
8400,82.25%,81.42%,0.4928,26.830197898507866,261427,random
8500,81.60%,81.39%,0.4928,26.049572308079586,263837,random
8600,82.83%,81.48%,0.4928,26.427566402324047,266115,random
8700,82.71%,81.48%,0.4928,25.949842972757917,268389,random
8800,82.12%,81.44%,0.4928,25.672379453724446,270630,random
8900,82.33%,81.47%,0.4928,26.012186679955583,272973,random
9000,82.00%,81.44%,0.4928,25.852847284406394,275149,random
9100,82.36%,81.49%,0.4928,26.05906767205935,277318,random
9200,82.17%,81.48%,0.4928,25.804156912026958,279490,random
9300,82.08%,81.47%,0.4928,26.10108677474921,281617,random
9400,81.93%,81.46%,0.4928,26.188245775561583,283831,random
9500,81.87%,81.45%,0.4928,25.698839518641826,286085,random
9600,82.06%,81.49%,0.4928,25.885019696727426,288140,random
9700,82.29%,81.54%,0.4928,25.96528967904362,290337,random
9800,82.67%,81.61%,0.4928,26.04195864962811,292379,random
9900,82.79%,81.65%,0.4928,25.669546150699137,294451,random
10000,82.35%,81.57%,0.4928,25.71155801536153,296585,random
10100,78.00%,81.53%,0.4910,23.480015694754602,298678,random
10200,77.50%,81.49%,0.4910,24.323987573628155,300865,random
10300,78.33%,81.48%,0.4910,25.323101733168432,303031,random
10400,79.00%,81.47%,0.4910,25.266281598653574,305214,random
10500,81.20%,81.55%,0.4910,25.482306087265894,307247,random
10600,81.67%,81.58%,0.4910,26.05272897619047,309326,random
10700,81.00%,81.53%,0.4910,25.994624041241035,311349,random
10800,80.88%,81.52%,0.4910,25.81043741605264,313414,random
10900,80.33%,81.47%,0.4910,26.02837681765775,315522,random
11000,80.70%,81.49%,0.4910,25.640416833810423,317519,random
11100,80.91%,81.50%,0.4910,25.99181700752516,319399,random
11200,80.50%,81.46%,0.4910,25.683366435028283,321479,random
11300,80.46%,81.44%,0.4910,25.92448819345012,323468,random
11400,81.00%,81.50%,0.4910,26.14168200992402,325408,random
11500,80.73%,81.46%,0.4910,25.758406021758464,327436,random
11600,80.31%,81.40%,0.4910,26.000035294938318,329325,random
11700,80.47%,81.41%,0.4910,26.128691455913106,331188,random
11800,80.28%,81.37%,0.4910,26.343154729882343,333079,random
11900,80.16%,81.34%,0.4910,25.85165418060786,335020,random
12000,79.95%,81.30%,0.4910,25.99636668535968,336914,random
12100,87.00%,81.35%,0.4892,25.977628528379864,338939,random
12200,85.50%,81.37%,0.4892,25.54001121511284,340934,random
12300,86.00%,81.41%,0.4892,25.931798501406483,342913,random
12400,85.00%,81.42%,0.4892,25.192825796652983,344770,random
12500,85.80%,81.48%,0.4892,25.345799146429375,346611,random
12600,84.83%,81.47%,0.4892,25.808119708015273,348580,random
12700,84.57%,81.48%,0.4892,25.466053417398932,350381,random
12800,83.88%,81.46%,0.4892,25.163818632383638,352270,random
12900,83.33%,81.44%,0.4892,25.34294567839332,354078,random
13000,82.80%,81.42%,0.4892,25.03748171848615,355917,random
13100,82.36%,81.39%,0.4892,25.21096533354456,357712,random
13200,81.42%,81.31%,0.4892,24.992289910048132,359447,random
13300,81.77%,81.35%,0.4892,25.22483960786466,361253,random
13400,81.71%,81.34%,0.4892,25.237976490446016,363177,random
13500,81.87%,81.36%,0.4892,24.83018466051148,364911,random
13600,82.06%,81.39%,0.4892,25.003124977808465,366632,random
13700,81.88%,81.37%,0.4892,25.07614403856814,368493,random
13800,82.17%,81.41%,0.4892,25.195052360325676,370268,random
13900,82.26%,81.43%,0.4892,24.826459702159717,372073,random
14000,82.00%,81.40%,0.4892,24.991025050009487,373903,random
14100,83.00%,81.41%,0.4874,25.455637450600587,375541,random
14200,83.00%,81.42%,0.4874,26.2392641627252,377270,random
14300,84.33%,81.46%,0.4874,26.034983706554737,378982,random
14400,84.25%,81.48%,0.4874,26.15161079970774,380659,random
14500,83.80%,81.48%,0.4874,25.37167873923825,382362,random
14600,84.67%,81.53%,0.4874,25.85863155978556,384057,random
14700,85.00%,81.57%,0.4874,25.32084130129273,385775,random
14800,84.88%,81.59%,0.4874,25.050288624449355,387468,random
14900,84.78%,81.60%,0.4874,25.216088574213035,389199,random
15000,84.80%,81.63%,0.4874,24.997725842657466,390888,random
15100,84.82%,81.65%,0.4874,25.263685734599363,392546,random
15200,84.67%,81.66%,0.4874,25.096062467474166,394105,random
15300,84.77%,81.69%,0.4874,25.249714272229483,395743,random
15400,84.64%,81.69%,0.4874,25.236772715976944,397446,random
15500,84.73%,81.72%,0.4874,24.898796754609997,399048,random
15600,84.44%,81.71%,0.4874,25.15173808348307,400650,random
15700,84.47%,81.73%,0.4874,25.278196258690418,402274,random
15800,84.22%,81.72%,0.4874,25.397005234894994,403903,random
15900,84.32%,81.75%,0.4874,24.975291184125535,405432,random
16000,84.20%,81.75%,0.4874,25.18826752720303,406967,random
16100,78.00%,81.73%,0.4856,24.59556308029066,408596,random
16200,78.00%,81.70%,0.4856,24.36060373211783,410283,random
16300,80.33%,81.72%,0.4856,24.227669987136697,411841,random
16400,80.25%,81.71%,0.4856,24.54888510911193,413467,random
16500,79.80%,81.69%,0.4856,24.660613068029924,415085,random
16600,79.50%,81.67%,0.4856,24.421163621950758,416700,random
16700,80.00%,81.68%,0.4856,24.97382374462192,418178,random
16800,80.88%,81.71%,0.4856,24.685159934772397,419665,random
16900,81.44%,81.73%,0.4856,24.992917994728867,421190,random
17000,81.30%,81.72%,0.4856,24.64027468589907,422786,random
17100,81.27%,81.72%,0.4856,24.565223883561973,424367,random
17200,81.33%,81.72%,0.4856,24.332372359372606,425936,random
17300,81.62%,81.74%,0.4856,24.50347622646835,427450,random
17400,81.43%,81.72%,0.4856,24.49639181861292,429016,random
17500,81.27%,81.71%,0.4856,24.068213531730507,430560,random
17600,81.19%,81.70%,0.4856,24.32965755447259,432033,random
17700,81.12%,81.69%,0.4856,24.4225720933428,433630,random
17800,81.56%,81.73%,0.4856,24.10738484853773,435171,random
17900,81.68%,81.74%,0.4856,24.178607534871652,436676,random
18000,81.35%,81.71%,0.4856,24.3027664179464,438235,random
18100,81.00%,81.71%,0.4838,25.05891914268861,439729,random
18200,83.00%,81.73%,0.4838,24.287489762962828,441344,random
18300,81.33%,81.70%,0.4838,24.664450476884987,442820,random
18400,81.00%,81.70%,0.4838,24.48143996000137,444361,random
18500,79.60%,81.65%,0.4838,24.389829761790622,445800,random
18600,79.67%,81.65%,0.4838,24.13360162230032,447338,random
18700,79.43%,81.63%,0.4838,24.591323674407167,448815,random
18800,80.25%,81.65%,0.4838,24.4268313166582,450228,random
18900,80.56%,81.66%,0.4838,24.650064295723855,451706,random
19000,80.50%,81.65%,0.4838,24.24915987723021,453119,random
19100,80.73%,81.65%,0.4838,24.40042602402039,454511,random
19200,81.08%,81.67%,0.4838,24.065791472264543,455903,random
19300,80.85%,81.65%,0.4838,24.307548435717205,457228,random
19400,80.86%,81.65%,0.4838,24.464369607084564,458469,random
19500,81.13%,81.67%,0.4838,24.118626242817562,459958,random
19600,81.00%,81.65%,0.4838,24.32474060284223,461295,random
19700,80.94%,81.64%,0.4838,24.457203685106712,462704,random
19800,81.28%,81.67%,0.4838,24.065012440545836,464118,random
19900,81.68%,81.71%,0.4838,24.168099936896553,465460,random
20000,81.45%,81.69%,0.4838,24.21281118978909,466846,random
20100,78.00%,81.67%,0.4820,23.681765436297844,468266,random
20200,79.00%,81.66%,0.4820,23.989093703508058,469517,random
20300,76.67%,81.62%,0.4820,24.787384100488833,470880,random
20400,77.75%,81.61%,0.4820,24.706662414687678,472269,random
20500,78.20%,81.60%,0.4820,24.598869838338842,473662,random
20600,78.50%,81.60%,0.4820,25.178301359021475,475004,random
20700,78.43%,81.58%,0.4820,25.073680730682813,476326,random
20800,78.62%,81.57%,0.4820,24.63915274715159,477647,random
20900,78.67%,81.56%,0.4820,25.10273079641629,479035,random
21000,79.00%,81.56%,0.4820,24.920938349467086,480344,random
21100,78.82%,81.54%,0.4820,25.00919319639016,481645,random
21200,78.67%,81.52%,0.4820,24.773433499189807,482938,random
21300,78.92%,81.52%,0.4820,25.122163805028414,484251,random
21400,79.14%,81.52%,0.4820,25.20849539247853,485652,random
21500,79.47%,81.53%,0.4820,24.904057057800546,486987,random
21600,79.38%,81.52%,0.4820,25.014733726288117,488290,random
21700,79.06%,81.48%,0.4820,25.078759810327462,489628,random
21800,78.94%,81.46%,0.4820,25.19599973712517,490925,random
21900,79.11%,81.47%,0.4820,24.869232693200424,492237,random
22000,79.20%,81.46%,0.4820,24.99241671582856,493457,random
22100,76.00%,81.43%,0.4802,25.432771455753883,494758,random
22200,78.50%,81.43%,0.4802,24.527568591221964,496149,random
22300,80.67%,81.45%,0.4802,24.848488917729462,497442,random
22400,80.50%,81.44%,0.4802,24.439801924343406,498735,random
22500,81.80%,81.47%,0.4802,24.490138721617264,499983,random
22600,81.83%,81.47%,0.4802,24.941511271305945,501213,random
22700,81.43%,81.46%,0.4802,24.79383417189217,502499,random
22800,81.75%,81.47%,0.4802,24.61449187317026,503728,random
22900,81.78%,81.47%,0.4802,24.882242902339847,505016,random
23000,81.00%,81.44%,0.4802,24.648377939883215,506269,random
23100,80.91%,81.43%,0.4802,24.89414617144219,507490,random
23200,80.33%,81.40%,0.4802,24.55572605877172,508679,random
23300,80.38%,81.40%,0.4802,24.57149680068249,509983,random
23400,80.50%,81.40%,0.4802,24.68954535220347,511173,random
23500,81.13%,81.44%,0.4802,24.448847180509418,512342,random
23600,81.19%,81.44%,0.4802,24.651552253083857,513531,random
23700,81.47%,81.46%,0.4802,24.720330575944,514776,random
23800,81.11%,81.43%,0.4802,24.259217889273007,516075,random
23900,81.21%,81.44%,0.4802,24.43641466782895,517187,random
24000,81.25%,81.44%,0.4802,24.595697214314033,518375,random
24100,76.00%,81.42%,0.4784,24.673002003756682,519549,random
24200,78.50%,81.42%,0.4784,24.8353629224781,520721,random
24300,78.33%,81.40%,0.4784,25.437589540365238,521897,random
24400,78.50%,81.39%,0.4784,25.06041113960293,523076,random
24500,79.40%,81.40%,0.4784,25.20390579104717,524271,random
24600,79.83%,81.40%,0.4784,25.574373595208513,525465,random
24700,80.00%,81.40%,0.4784,25.390548124283598,526699,random
24800,80.12%,81.40%,0.4784,25.20029977411197,527877,random
24900,79.00%,81.35%,0.4784,25.28000958998302,529090,random
25000,79.50%,81.36%,0.4784,25.054988697488717,530255,random
25100,80.09%,81.38%,0.4784,25.195890485169503,531399,random
25200,80.58%,81.40%,0.4784,24.831594218245606,532521,random
25300,80.08%,81.37%,0.4784,24.96865463952113,533637,random
25400,79.79%,81.35%,0.4784,25.09499034250944,534780,random
25500,80.00%,81.36%,0.4784,24.777099846625468,535843,random
25600,79.88%,81.34%,0.4784,24.889650491542014,537084,random
25700,80.06%,81.35%,0.4784,24.918118611446868,538250,random
25800,80.17%,81.35%,0.4784,25.01585130308056,539364,random
25900,80.05%,81.34%,0.4784,24.47331214077927,540503,random
26000,80.50%,81.37%,0.4784,24.65583320419694,541606,random
26100,84.00%,81.38%,0.4766,26.25511840675908,542666,random
26200,84.00%,81.39%,0.4766,25.83105662580628,543694,random
26300,81.33%,81.37%,0.4766,24.917620084688817,544804,random
26400,82.25%,81.38%,0.4766,24.222435819925828,545879,random
26500,82.00%,81.38%,0.4766,23.937852479162537,546993,random
26600,81.50%,81.37%,0.4766,24.44652841617464,548112,random
26700,81.86%,81.38%,0.4766,24.485149029594226,549194,random
26800,81.50%,81.37%,0.4766,24.38738282510914,550238,random
26900,80.89%,81.35%,0.4766,24.817774729096044,551324,random
27000,80.80%,81.35%,0.4766,24.473926184974847,552430,random
27100,81.00%,81.35%,0.4766,24.61469660194505,553567,random
27200,81.50%,81.38%,0.4766,24.316845592786827,554646,random
27300,81.54%,81.38%,0.4766,24.44600502604675,555702,random
27400,81.57%,81.38%,0.4766,24.53750647862355,556813,random
27500,81.60%,81.38%,0.4766,24.171450180742546,557940,random
27600,80.94%,81.34%,0.4766,24.27871241227837,559035,random
27700,80.47%,81.31%,0.4766,24.417042723498533,560105,random
27800,81.00%,81.35%,0.4766,24.607810641778165,561127,random
27900,80.84%,81.33%,0.4766,24.269525268180423,562137,random
28000,80.85%,81.33%,0.4766,24.44420655387874,563090,random
28100,88.00%,81.35%,0.4748,24.95239073159045,564176,random
28200,87.00%,81.37%,0.4748,25.693612160492087,565245,random
28300,85.00%,81.37%,0.4748,25.064597614780993,566258,random
28400,84.75%,81.38%,0.4748,24.600737675375328,567319,random
28500,84.00%,81.38%,0.4748,24.740215305200522,568380,random
28600,83.83%,81.38%,0.4748,25.214867421432032,569419,random
28700,84.57%,81.41%,0.4748,25.29479900018435,570417,random
28800,84.75%,81.42%,0.4748,25.14605134550139,571470,random
28900,84.89%,81.44%,0.4748,25.325599152960162,572557,random
29000,84.90%,81.45%,0.4748,25.075762593191644,573492,random
29100,84.91%,81.46%,0.4748,25.11349979487284,574511,random
29200,84.83%,81.47%,0.4748,25.378343005679852,575520,random
29300,84.31%,81.46%,0.4748,24.968889147037434,576612,random
29400,84.21%,81.47%,0.4748,25.058352912682206,577691,random
29500,84.00%,81.46%,0.4748,24.70922519276983,578722,random
29600,83.81%,81.46%,0.4748,24.906304448321603,579670,random
29700,83.59%,81.46%,0.4748,24.94072329179359,580676,random
29800,83.61%,81.47%,0.4748,25.013266752038426,581705,random
29900,83.42%,81.46%,0.4748,24.585298084928482,582687,random
30000,83.25%,81.46%,0.4748,24.770116289629218,583688,random
31000,81.40%,81.46%,0.4730,23.901901351898754,593467,random
32000,82.15%,81.50%,0.4730,24.060950770864387,602908,random
33000,80.70%,81.48%,0.4712,24.461413613381016,616856,random
34000,81.25%,81.49%,0.4712,24.079064842647238,625608,random
35000,81.40%,81.49%,0.4712,23.550855060078653,634294,random
36000,81.58%,81.51%,0.4712,23.120456875623624,642862,random
37000,81.48%,81.50%,0.4712,22.278852393276626,651247,random
38000,81.00%,81.49%,0.4667,23.531597168816564,659059,random
39000,80.80%,81.46%,0.4667,23.627605586321575,666727,random
40000,81.83%,81.53%,0.4667,23.313638251001034,674499,random
41000,81.45%,81.50%,0.4667,23.438595057316448,682077,random
42000,81.48%,81.50%,0.4667,22.503126659005794,689248,random
43000,82.30%,81.52%,0.4622,24.250646038606426,696290,random
44000,81.35%,81.49%,0.4622,24.016428199216456,703213,random
45000,81.03%,81.47%,0.4622,23.62037614106146,710038,random
46000,81.27%,81.48%,0.4622,23.46194597153575,716825,random
47000,81.42%,81.49%,0.4622,22.503332462280344,723187,random
48000,83.60%,81.53%,0.4577,22.844222793719698,729638,random
49000,81.95%,81.51%,0.4577,23.484330440781925,735864,random
50000,81.90%,81.51%,0.4577,23.515543728932027,742107,random
51000,81.85%,81.52%,0.4577,23.34658999110855,748243,random
52000,82.00%,81.54%,0.4577,22.386064261680183,754215,random
53000,81.30%,81.54%,0.4532,23.759113330199746,760348,random
54000,81.85%,81.55%,0.4532,23.700322654188597,766089,random
55000,81.53%,81.54%,0.4532,23.48461735793486,771589,random
56000,81.92%,81.57%,0.4532,23.371296693014123,777073,random
57000,82.08%,81.59%,0.4532,22.551571695564895,782372,random
58000,82.80%,81.61%,0.4487,23.471551989043554,787719,random
59000,81.95%,81.60%,0.4487,23.74319666472231,792961,random
60000,82.60%,81.64%,0.4487,23.543869898213487,798079,random
61000,82.45%,81.65%,0.4487,23.401961646655202,803216,random
62000,82.32%,81.65%,0.4487,22.857670013751974,808273,random
63000,81.60%,81.65%,0.4442,23.500693940209278,813085,random
64000,81.90%,81.66%,0.4442,23.666911473170618,817708,random
65000,81.30%,81.63%,0.4442,23.271602929665807,822412,random
66000,81.90%,81.67%,0.4442,23.174810150785913,827088,random
67000,81.80%,81.66%,0.4442,22.45536862551394,831390,random
68000,83.20%,81.68%,0.4397,23.249365803658325,835936,random
69000,82.90%,81.70%,0.4397,23.440441522199684,840330,random
70000,82.23%,81.68%,0.4397,23.099043758436576,844560,random
71000,82.45%,81.70%,0.4397,22.921199617542637,848751,random
72000,82.30%,81.70%,0.4397,22.060573709100645,852961,random
73000,80.80%,81.69%,0.4352,23.085975712176463,856868,random
74000,81.65%,81.70%,0.4352,23.48414983910254,860921,random
75000,81.13%,81.68%,0.4352,23.043510169071617,864943,random
76000,80.80%,81.65%,0.4352,22.843728356298776,868938,random
77000,80.76%,81.64%,0.4352,22.002611991824317,872720,random
78000,83.00%,81.66%,0.4307,22.84476478343352,876404,random
79000,81.75%,81.64%,0.4307,22.984148260202108,880168,random
80000,81.47%,81.63%,0.4307,22.555689046684332,883862,random
81000,81.73%,81.64%,0.4307,22.462582701895016,887446,random
82000,81.74%,81.65%,0.4307,21.635826235652875,890978,random
83000,80.80%,81.64%,0.4262,23.5249011230722,894336,random
84000,80.80%,81.63%,0.4262,23.67998747637381,897752,random
85000,80.97%,81.63%,0.4262,23.443748147606293,901049,random
86000,81.75%,81.65%,0.4262,22.549685139239685,904340,random
87000,81.66%,81.65%,0.4262,21.36285514146612,907654,random
88000,81.60%,81.65%,0.4217,23.698165651404196,910893,random
89000,80.95%,81.63%,0.4217,23.917709017428457,914042,random
90000,80.80%,81.62%,0.4217,23.552437912808823,917314,random
91000,81.03%,81.62%,0.4217,23.343525089711544,920471,random
92000,82.20%,81.63%,0.0500,22.723442173621756,924504,random
93000,82.35%,81.64%,0.0500,23.265637684641423,927775,random
94000,82.10%,81.64%,0.0500,22.839610369095894,930823,random
